"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
124,1,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
125,2,1984,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
126,1,1981,4,1,1999,30,0,-4,-4,50,10,-4,30,3,27
127,2,1982,4,1,1998,3,-4,-4,-4,3,-4,-4,-4,25,14
128,2,1982,4,3,1999,-4,-4,-4,-4,-4,-4,-4,-4,4,0
129,2,1980,4,3,1998,30,-4,-4,1,-4,-4,-4,-4,6,0
130,2,1981,4,3,1998,30,-4,-4,-4,-4,-4,-4,-4,-4,0
131,1,1980,4,1,1998,10,-4,-4,-4,-4,-4,-4,-4,-5,0
132,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
133,1,1982,4,-5,-5,0,-4,-4,-4,-4,-4,-4,-4,-5,10
134,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
135,1,1981,4,4,1998,-5,-5,-5,-5,-5,-5,-5,-5,12,52
136,2,1983,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,2,0
137,2,1980,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,23
138,1,1984,4,1,1998,-4,-4,-4,2,-4,-4,-4,-4,-4,0
139,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
140,1,1983,2,3,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
141,2,1980,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,52
142,2,1981,4,2,1998,30,0,-4,-4,-4,-4,-4,-4,3,37
143,1,1981,1,1,1998,0,-4,-4,-4,-4,-4,-4,-4,0,0
144,1,1982,1,2,1998,-4,-4,-4,2,6,-4,-4,-4,-4,6
145,1,1984,1,2,1998,0,-4,-4,-4,-4,-4,-4,-4,-4,0
146,1,1984,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
147,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,0
148,2,1982,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,2
149,2,1983,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
150,1,1984,1,2,1998,2,-4,-4,3,15,-4,-4,-4,0,0
151,2,1982,1,9,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,38
152,1,1982,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,13
153,2,1980,1,2,1999,30,-4,-4,-4,-4,-4,-4,-4,-4,0
154,1,1980,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
155,1,1980,4,1,1999,5,-4,-4,-4,-4,-4,-4,-4,14,0
156,1,1982,4,1,1999,15,2,-4,-4,-4,-4,-4,1,12,0
157,2,1982,2,1,1999,30,0,0,-4,-4,-4,-4,-4,-4,17
158,1,1984,2,1,1998,0,-4,-4,9,5,-4,3,-4,2,0
159,2,1980,2,1,1999,25,-4,-4,-4,-4,-4,-4,-4,-4,28
160,2,1981,2,4,1999,10,-4,-4,-4,-4,-4,-4,-4,0,20
161,1,1982,2,4,1999,30,0,0,-4,-4,-4,-4,99,8,52
162,2,1981,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,17
163,1,1983,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10,0
164,2,1981,4,1,1998,30,0,-4,-4,-4,-4,-4,-4,7,52
165,1,1980,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
166,2,1982,4,1,1999,1,-4,-4,-4,-4,-4,-4,-4,-4,0
167,1,1984,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
168,1,1981,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,5
169,2,1983,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,0,0
170,2,1984,4,1,1999,1,-4,-4,-4,-4,-4,-4,-4,-4,0
171,2,1984,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,51
172,1,1983,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
173,2,1980,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,34
174,1,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
175,2,1981,4,1,1999,0,-4,0,-4,-4,-4,-4,-4,3,5
176,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
177,2,1980,4,1,1998,1,-4,-4,-4,-4,-4,-4,-4,8,52
178,2,1980,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,52
179,2,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
180,1,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,5
181,2,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,5
182,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,2,0
183,2,1980,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,52
184,1,1984,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,0,0
185,1,1981,1,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
